X_train,y_train
"[59514, 37313, 7730, 10384, 114, 31323, 74, 5118, 4577, 0]","[59514, 30349, 9530, 9, 20, 6, 3311, 8140, 402, 29033, 583, 402, 29033, 89, 23772, 8, 1283, 20, 6, 12440, 0]"
"[59514, 16897, 39174, 9, 48, 14951, 479, 4336, 4, 440, 32609, 9, 37, 0]","[59514, 83, 11499, 14330, 9, 1917, 68, 6, 1295, 70, 478, 1838, 769, 6425, 23, 1131, 16, 15, 21503, 10584, 2040, 402, 38492, 0]"
"[59514, 947, 0]","[59514, 947, 0]"
"[59514, 2734, 2114, 0]","[59514, 9159, 4839, 0]"
"[59514, 31323, 18863, 14327, 26, 18, 9531, 1664, 0]","[59514, 89, 23772, 16, 17821, 36829, 13, 1664, 18, 9531, 9, 0]"
"[59514, 19208, 6189, 122, 1973, 0]","[59514, 87, 15098, 18560, 402, 29033, 583, 26762, 8302, 402, 29033, 583, 359, 31826, 0]"
"[59514, 8231, 12189, 1098, 0]","[59514, 24604, 5415, 5612, 30104, 133, 3, 4486, 122, 0]"
"[59514, 10375, 37805, 110, 0]","[59514, 238, 5350, 12240, 7963, 10375, 110, 1511, 0]"
"[59514, 21490, 0]","[59514, 7412, 22727, 0]"
"[59514, 188, 1494, 0]","[59514, 188, 1494, 0]"
"[59514, 1392, 37615, 30136, 190, 0]","[59514, 18346, 9151, 20193, 3300, 247, 21332, 0]"
"[59514, 17724, 13632, 37, 0]","[59514, 6178, 20, 6, 9007, 402, 38492, 0]"
"[59514, 488, 12667, 4, 18318, 1680, 2, 349, 5487, 2, 10, 591, 5139, 4, 11108, 2674, 64, 4, 8117, 746, 2805, 3, 0]","[59514, 315, 9095, 19, 9904, 9294, 6429, 2, 10170, 36, 19, 9376, 297, 11, 1692, 20899, 14, 6, 9313, 6965, 22, 2805, 41242, 3, 0]"
"[59514, 8108, 0]","[59514, 8108, 0]"
"[59514, 2635, 2307, 11379, 50, 1658, 1344, 0]","[59514, 80, 780, 1658, 5, 402, 2635, 2307, 11379, 50, 0]"
"[59514, 97, 5303, 0]","[59514, 97, 13829, 0]"
"[59514, 35, 464, 4, 3005, 583, 2399, 583, 6296, 32, 18, 3, 0]","[59514, 60, 130, 311, 95, 1790, 14, 6, 6990, 583, 8, 11090, 583, 14, 6, 8211, 3, 0]"
"[59514, 3118, 19112, 133, 4155, 111, 17002, 6163, 0]","[59514, 3118, 19112, 133, 4155, 111, 17002, 6163, 0]"
"[59514, 13362, 0]","[59514, 13362, 0]"
"[59514, 4118, 0]","[59514, 12649, 0]"
"[59514, 11278, 11928, 817, 40376, 817, 8886, 323, 28928, 142, 0]","[59514, 402, 41586, 1246, 13488, 15491, 7036, 8459, 50, 402, 41586, 381, 6027, 162, 635, 4780, 51, 559, 259, 4342, 50, 0]"
"[59514, 692, 33, 1675, 21, 23298, 101, 77, 3280, 1822, 13805, 4, 25129, 27346, 3, 0]","[59514, 692, 68, 6, 93, 1675, 24608, 36, 38, 4930, 1328, 20, 6, 9126, 8, 7552, 20, 6, 11300, 13, 14387, 3, 0]"
"[59514, 402, 32909, 627, 1160, 9, 0]","[59514, 6500, 8495, 5, 5257, 0]"
"[59514, 160, 5852, 12589, 541, 55, 115, 39296, 402, 21644, 6943, 50, 12, 1801, 117, 759, 895, 10, 19859, 3, 0]","[59514, 335, 2689, 5626, 1027, 88, 26241, 3489, 33614, 402, 2635, 51, 6943, 50, 27, 68, 6, 107, 62, 6, 32127, 17, 716, 997, 11, 18230, 3, 0]"
"[59514, 19335, 1829, 0]","[59514, 19125, 19, 2438, 0]"
"[59514, 24269, 15369, 26, 301, 548, 0]","[59514, 17923, 1113, 883, 4039, 27, 301, 548, 0]"
"[59514, 11949, 0]","[59514, 40, 5891, 0]"
"[59514, 35, 293, 2158, 55, 115, 545, 479, 32, 4, 1344, 2429, 3, 560, 52, 271, 10642, 85, 216, 1181, 12, 1949, 55, 15, 8664, 26237, 1243, 3, 0]","[59514, 80, 2880, 5, 8, 780, 43, 19, 698, 4731, 29, 88, 1069, 4092, 769, 3, 4925, 7337, 8481, 17, 193, 8640, 5, 2884, 3, 0]"
"[59514, 160, 32, 4, 3236, 7, 3210, 20571, 74, 2419, 12, 6032, 3, 0]","[59514, 25414, 13, 20571, 402, 29033, 583, 13, 2419, 3210, 17, 8436, 3, 0]"
"[59514, 35, 4845, 13847, 3707, 55, 39296, 10642, 921, 12, 649, 12, 4, 402, 40819, 483, 226, 50, 11634, 3, 0]","[59514, 87, 6, 31017, 10606, 1328, 5, 33614, 16, 7337, 2427, 17, 14, 6, 1549, 39, 10929, 402, 2635, 139, 483, 226, 50, 3, 0]"
"[59514, 160, 2674, 115, 45, 403, 12, 6523, 4, 16517, 41, 300, 301, 1078, 2805, 21, 9313, 64, 98, 1664, 3, 0]","[59514, 530, 2674, 168, 100, 4263, 27, 7324, 14, 6, 9313, 5, 2805, 20289, 41, 300, 301, 1078, 5, 363, 16, 1664, 3, 0]"
"[59514, 19335, 1017, 4767, 37, 0]","[59514, 19125, 8, 20, 792, 13130, 15071, 402, 38492, 0]"
"[59514, 2646, 1817, 0]","[59514, 19012, 243, 0]"
"[59514, 213, 115, 913, 4, 11616, 18, 4, 11059, 1318, 4, 2163, 7, 4, 9049, 1139, 7, 2375, 19360, 37, 1363, 67, 2674, 15108, 86, 946, 3141, 11616, 26, 471, 1690, 9049, 2490, 50, 3454, 244, 2, 246, 11616, 200, 4, 1018, 7, 4, 2163, 7, 98, 1139, 7, 15, 1690, 9049, 86, 45, 852, 3, 0]","[59514, 344, 1069, 7127, 16, 11808, 31, 19, 7113, 404, 14, 6, 1141, 13, 1369, 5, 40577, 13, 19476, 14258, 402, 38492, 19, 148, 20, 6, 1936, 806, 5038, 120, 2674, 19167, 16, 11808, 9401, 5, 521, 4061, 5, 40577, 49, 17321, 402, 29033, 50, 23, 9722, 2, 11343, 16, 11808, 36, 19, 3220, 5, 14, 6, 1141, 5, 363, 16, 1369, 20, 6, 93, 1636, 15973, 814, 11640, 3, 0]"
"[59514, 16542, 1437, 110, 0]","[59514, 14903, 22, 2428, 110, 0]"
"[59514, 13736, 0]","[59514, 13736, 12001, 67, 32, 15, 526, 635, 93, 1432, 49, 9933, 15839, 0]"
"[59514, 38007, 5537, 0]","[59514, 6708, 13, 17821, 21332, 0]"
"[59514, 12450, 402, 40819, 111, 222, 50, 0]","[59514, 12433, 5, 402, 2635, 3869, 222, 50, 0]"
"[59514, 1060, 3689, 108, 0]","[59514, 33261, 617, 5, 1459, 0]"
"[59514, 38829, 400, 5401, 63, 0]","[59514, 267, 4415, 400, 452, 6314, 7742, 597, 18039, 3, 4486, 122, 0]"
"[59514, 443, 67, 2674, 32, 15108, 526, 602, 226, 86, 6871, 15, 14990, 34946, 3, 160, 32, 3925, 18, 528, 4, 23, 10784, 139, 417, 1566, 2103, 13252, 10122, 5976, 499, 3, 0]","[59514, 350, 120, 528, 43, 806, 17598, 2, 526, 602, 226, 24229, 7859, 34, 23, 21, 19794, 13700, 973, 3, 335, 168, 100, 3747, 31, 19, 252, 311, 14, 6, 162, 222, 27141, 76, 29136, 53, 17, 4965, 3131, 16, 372, 5976, 3, 0]"
"[59514, 5733, 21, 27257, 29477, 0]","[59514, 5733, 29318, 0]"
"[59514, 35645, 13193, 8241, 6870, 3, 0]","[59514, 1948, 4639, 222, 20, 6, 21924, 5, 14, 6, 8059, 13448, 5, 5404, 3, 0]"
"[59514, 8429, 9, 15, 18724, 292, 46, 2752, 0]","[59514, 10830, 19, 230, 5, 383, 17047, 40, 6975, 0]"
"[59514, 4484, 10906, 39147, 0]","[59514, 22551, 19, 6657, 243, 22, 5390, 0]"
"[59514, 6778, 5846, 41, 5641, 63, 41, 5533, 3888, 13643, 0]","[59514, 11490, 9, 704, 5, 14, 6, 82, 41, 5641, 63, 41, 15487, 5, 5533, 3888, 0]"
"[59514, 488, 713, 4, 16494, 11134, 26, 18573, 18, 4, 526, 7378, 2, 256, 4, 7378, 27346, 2, 19559, 46, 21104, 42, 4, 402, 258, 10503, 50, 30, 4, 402, 2635, 13498, 50, 16494, 10, 20277, 7378, 27346, 64, 4, 2805, 3, 0]","[59514, 315, 4569, 14, 6, 29180, 30866, 27, 16, 14387, 22, 2805, 526, 2, 12500, 14, 6, 1015, 39433, 1547, 5, 2805, 9, 2, 3653, 23, 22043, 72, 19, 402, 188, 6515, 50, 36, 14, 6, 29180, 22, 402, 2805, 720, 50, 11, 18036, 39433, 1547, 5, 2805, 9, 3, 0]"
"[59514, 443, 55, 197, 81, 6, 75, 324, 4, 11949, 23130, 2, 57, 354, 1036, 23130, 2, 55, 115, 12817, 39296, 61, 3, 213, 115, 650, 5407, 5110, 760, 23130, 9, 10, 13808, 242, 254, 30, 4, 12819, 3, 0]","[59514, 350, 88, 81, 6, 4247, 265, 53, 8, 1725, 40, 5891, 2, 59, 29, 88, 867, 851, 20, 6, 112, 495, 1725, 2, 88, 1069, 10871, 23, 33614, 34, 784, 3, 344, 1069, 223, 13988, 652, 710, 2, 11, 2480, 5, 14, 6, 112, 15, 14, 6, 1152, 17, 8, 39186, 3, 0]"
"[59514, 402, 12073, 6319, 50, 41, 25572, 9, 0]","[59514, 17557, 402, 156, 33593, 50, 0]"
"[59514, 402, 9673, 67, 5386, 0]","[59514, 402, 25720, 66, 14755, 0]"
"[59514, 443, 55, 1153, 5118, 8205, 55, 115, 453, 3826, 15, 8205, 37, 0]","[59514, 350, 88, 867, 6063, 8140, 19, 8205, 2, 88, 1069, 1119, 4094, 34, 8205, 402, 38492, 0]"
"[59514, 11540, 67, 409, 487, 4107, 9, 35107, 2559, 4, 5990, 0]","[59514, 385, 23691, 1510, 10749, 323, 3644, 18467, 0]"
"[59514, 5171, 4, 941, 205, 8517, 64, 4, 8998, 6, 9, 759, 27785, 115, 45, 403, 12, 1903, 4, 4430, 3, 0]","[59514, 33623, 16, 5144, 22030, 5, 8, 16419, 6754, 39, 15393, 388, 100, 3834, 27, 2742, 8, 332, 3, 0]"
"[59514, 249, 488, 37, 3278, 0]","[59514, 5687, 19941, 21047, 0]"
"[59514, 35, 440, 12, 139, 5447, 9, 79, 3619, 103, 1528, 1787, 5412, 3, 1123, 55, 639, 12, 1769, 254, 15669, 54, 0]","[59514, 83, 43071, 9, 1724, 91, 3977, 125, 5412, 5, 4495, 13756, 3, 47, 8594, 259, 108, 8, 3728, 11, 2491, 17, 95, 26156, 402, 29033, 54, 0]"
"[59514, 97, 1432, 1561, 2672, 6935, 0]","[59514, 80, 1561, 2672, 6252, 21, 31624, 114, 10019, 162, 1098, 817, 2831, 12254, 253, 3, 4486, 122, 0]"
"[59514, 8876, 548, 26092, 0]","[59514, 29189, 5, 8, 668, 109, 4588, 1588, 1744, 657, 6587, 0]"
"[59514, 402, 35, 3894, 0]","[59514, 402, 34545, 0]"
"[59514, 25, 28, 6, 1995, 0]","[59514, 153, 402, 29033, 28, 402, 29033, 416, 21664, 0]"
"[59514, 14016, 34045, 7512, 0]","[59514, 19655, 0]"
"[59514, 359, 5702, 15952, 0]","[59514, 359, 5702, 1865, 4771, 51, 8468, 3622, 3, 4486, 122, 0]"
"[59514, 35, 1255, 26, 301, 548, 94, 118, 545, 3, 0]","[59514, 80, 5659, 27, 153, 402, 29033, 301, 548, 402, 29033, 416, 43, 1119, 10716, 3, 0]"
"[59514, 6369, 67, 9319, 12, 713, 4, 6442, 7, 4, 3819, 10339, 3, 35, 5329, 7, 67, 7426, 10, 4, 9668, 7, 4, 30349, 34955, 9975, 30, 4, 10339, 2223, 3, 0]","[59514, 9538, 36, 66, 9376, 27, 3031, 8, 6442, 5, 14, 6, 9700, 2143, 18524, 3, 80, 3548, 5, 120, 22325, 11, 19, 2023, 5, 8, 8856, 5, 1199, 5, 6442, 16531, 22, 2074, 20, 6, 9700, 2143, 3, 0]"
"[59514, 180, 6065, 2735, 46036, 12916, 0]","[59514, 1707, 6865, 9919, 4499, 39477, 446, 81, 6587, 24, 9313, 253, 28, 0]"
"[59514, 386, 943, 2, 235, 402, 2635, 511, 50, 32, 7918, 18, 583, 12260, 74, 2635, 511, 2, 526, 3261, 7460, 6465, 1298, 8367, 45, 545, 12, 583, 1025, 74, 12260, 74, 2635, 511, 37, 583, 12260, 74, 2635, 511, 3, 443, 55, 12802, 402, 2635, 253, 10886, 50, 208, 583, 368, 139, 74, 609, 2, 55, 165, 354, 12, 545, 526, 3261, 7460, 6465, 12, 583, 368, 139, 74, 609, 37, 583, 1025, 74, 12260, 74, 2635, 511, 37, 583, 12260, 74, 2635, 511, 487, 5129, 402, 2635, 511, 50, 3, 0]","[59514, 577, 722, 2, 174, 402, 2635, 511, 50, 43, 11334, 31, 583, 12260, 74, 2635, 511, 2, 526, 3261, 381, 29132, 3904, 23, 1757, 100, 40912, 36, 583, 1025, 74, 12260, 74, 2635, 511, 37, 583, 12260, 74, 2635, 511, 3, 350, 88, 49, 20472, 265, 402, 2635, 253, 10886, 50, 31, 583, 368, 139, 74, 609, 2, 88, 19617, 42846, 526, 3261, 381, 29132, 36, 583, 368, 139, 74, 609, 37, 583, 1025, 74, 12260, 74, 2635, 511, 37, 583, 12260, 74, 2635, 511, 470, 5, 21395, 402, 2635, 511, 50, 3, 0]"
"[59514, 3206, 21137, 6959, 0]","[59514, 3206, 21137, 6959, 0]"
"[59514, 31780, 15, 4767, 0]","[59514, 11238, 38, 20, 792, 13130, 0]"
"[59514, 27620, 24, 612, 51, 1937, 1098, 28, 0]","[59514, 11866, 364, 24, 612, 274, 1937, 894, 28, 0]"
"[59514, 304, 2383, 15712, 40497, 244, 10, 20293, 2468, 24834, 0]","[59514, 6776, 8273, 9983, 11, 10171, 709, 8, 4789, 0]"
"[59514, 24339, 364, 708, 13527, 9568, 0]","[59514, 4948, 5297, 9568, 589, 6709, 4833, 4386, 657, 6587, 0]"
"[59514, 12406, 11543, 1129, 479, 110, 0]","[59514, 34326, 1248, 769, 19, 689, 5, 14, 6, 18235, 110, 0]"
"[59514, 10313, 8147, 69, 7374, 12, 2103, 212, 35519, 64, 4, 4549, 1437, 3, 0]","[59514, 267, 10344, 1071, 81, 6, 63, 53, 1499, 4965, 16, 32654, 22, 2428, 4549, 3, 0]"
"[59514, 29560, 3493, 0]","[59514, 6592, 1547, 0]"
"[59514, 1123, 55, 1453, 639, 12, 14821, 25, 3878, 548, 6, 54, 0]","[59514, 24730, 41, 682, 1836, 7324, 153, 402, 29033, 301, 548, 402, 29033, 416, 402, 29033, 54, 0]"
"[59514, 645, 4, 1920, 32, 15, 29418, 7, 4, 1017, 6508, 16494, 9, 3, 4175, 11949, 2829, 86, 79, 246, 151, 16494, 6508, 494, 2, 4, 402, 2635, 511, 50, 11949, 31823, 133, 3345, 6508, 3, 560, 52, 126, 10512, 2226, 12809, 18, 4, 2635, 511, 1024, 6962, 5386, 2, 10, 55, 115, 121, 6032, 147, 64, 4, 1159, 64, 4012, 37, 583, 583, 3390, 3, 2635, 511, 21, 37189, 3, 57, 309, 3, 0]","[59514, 134, 1426, 95, 1790, 34, 7023, 22, 4101, 20, 6, 29180, 9, 4006, 3, 83, 2829, 16, 65, 16862, 5347, 810, 34, 4101, 2200, 2, 19, 4101, 402, 2635, 511, 50, 40, 5891, 708, 623, 133, 3345, 3, 180, 6, 362, 6785, 95, 5266, 221, 31, 19, 14755, 738, 2635, 511, 1024, 6962, 2, 11, 88, 1069, 221, 23, 8436, 65, 540, 14, 6, 25037, 540, 4012, 37, 583, 583, 3390, 3, 2635, 511, 21, 376, 11411, 3, 49, 1937, 3, 0]"
"[59514, 7039, 37, 0]","[59514, 236, 21, 1874, 0]"
"[59514, 402, 2120, 145, 0]","[59514, 402, 30936, 139, 402, 29033, 145, 0]"
"[59514, 488, 11601, 271, 62, 3954, 23382, 9, 2942, 12, 151, 7, 4, 2897, 783, 30, 4, 293, 62, 3954, 23382, 2, 3359, 761, 4, 402, 87, 10503, 50, 10, 29321, 15, 1410, 12, 151, 7, 4, 2897, 783, 30, 4, 787, 62, 3954, 23382, 3, 35, 5198, 7051, 71, 4, 703, 7, 4, 1410, 86, 713, 12, 4469, 288, 61, 32, 314, 15, 2897, 261, 11829, 33, 4, 1410, 32, 7031, 12, 15, 62, 3954, 23382, 3, 0]","[59514, 315, 10854, 203, 28052, 2, 29726, 265, 41, 682, 709, 14, 6, 93, 13, 783, 5, 8198, 22, 698, 15765, 2, 18296, 13770, 46367, 19, 402, 188, 17166, 50, 11, 12355, 265, 38, 863, 709, 14, 6, 93, 13, 783, 5, 8198, 22, 1309, 15765, 3, 60, 19616, 7250, 17, 8, 611, 5, 8, 863, 95, 4569, 63, 23, 5853, 1766, 6, 107, 439, 36, 34, 261, 5, 8198, 2, 8243, 29, 8, 863, 43, 24154, 17, 34, 15765, 3, 0]"
"[59514, 488, 45, 6647, 2, 10, 2159, 368, 514, 2, 24, 15125, 28, 18011, 354, 12, 45, 3457, 46, 15, 402, 4627, 50, 24, 166, 5908, 3325, 4327, 102, 847, 17835, 52, 1381, 12442, 2, 152, 4465, 4, 1175, 6137, 10, 24, 15125, 28, 1255, 52, 403, 31001, 6655, 2, 10, 123, 86, 73, 20012, 242, 254, 18, 67, 10300, 1828, 2, 4351, 288, 15578, 1641, 3, 0]","[59514, 315, 100, 21384, 2, 598, 27084, 9, 2, 16, 4553, 24, 39163, 9, 28, 474, 100, 14551, 9, 40, 38, 402, 13824, 50, 24, 166, 5908, 3325, 4327, 2, 5889, 5, 4218, 102, 672, 17835, 70, 27092, 10686, 2, 175, 20, 6, 32060, 16, 1669, 153, 402, 29033, 5789, 402, 29033, 416, 11, 153, 402, 29033, 5659, 24, 39163, 28, 402, 29033, 15553, 62, 6, 40629, 5, 737, 45892, 402, 38492, 23, 3465, 2, 116, 76, 26120, 53, 5, 4862, 164, 891, 31, 66, 10288, 2, 4271, 6567, 18236, 3, 60, 689, 5, 14, 6, 1448, 50, 44, 15, 9670, 19, 5789, 24, 222, 6, 82, 21, 358, 21, 3882, 19, 402, 81, 111, 50, 28, 43, 2134, 31, 8, 9649, 385, 381, 5, 14, 6, 0]"
"[59514, 25510, 4, 402, 43703, 50, 1255, 761, 791, 19444, 4, 402, 156, 10503, 50, 86, 1240, 4, 4213, 18, 4, 6379, 3, 0]","[59514, 60, 2067, 5, 8, 6584, 402, 18579, 50, 46367, 51, 178, 23, 19237, 36, 19, 402, 188, 9174, 50, 11017, 19, 3349, 23, 7631, 21, 8637, 3, 0]"
"[59514, 9312, 12, 4, 9088, 8218, 3, 160, 10923, 86, 667, 55, 42, 4, 13184, 7, 117, 2419, 3, 6369, 4, 6, 32712, 25, 7243, 1160, 12, 5020, 3, 0]","[59514, 14143, 31, 8218, 20, 6, 7784, 3, 2916, 10923, 88, 13532, 31, 14, 6, 7784, 5, 716, 2419, 3, 9538, 36, 19, 9376, 153, 402, 29033, 13774, 402, 29033, 416, 27, 4706, 3, 0]"
"[59514, 43783, 402, 596, 7907, 928, 48767, 0]","[59514, 15479, 139, 14, 6, 35852, 5, 402, 784, 7907, 3416, 0]"
"[59514, 2646, 1817, 0]","[59514, 1183, 21, 35061, 0]"
"[59514, 23501, 0]","[59514, 19265, 9, 0]"
"[59514, 27688, 0]","[59514, 30752, 0]"
"[59514, 741, 6501, 37313, 0]","[59514, 36561, 22, 215, 23, 644, 0]"
"[59514, 84, 2026, 8998, 3947, 7, 7389, 46847, 2, 708, 5793, 461, 259, 10360, 2, 48, 276, 48, 30731, 1430, 23, 10784, 111, 84, 7828, 62, 10, 126, 2026, 7033, 3, 402, 170, 970, 93, 50, 3753, 5976, 1821, 2, 15, 979, 21, 10924, 22065, 2494, 14464, 2, 15, 827, 20142, 7759, 2, 2104, 5606, 2, 10, 1019, 1374, 10, 14608, 3, 0]","[59514, 375, 12111, 5976, 3947, 5, 4965, 13, 4027, 931, 9640, 2, 708, 5793, 461, 259, 10360, 2, 207, 29, 13, 49, 30342, 23, 1071, 14837, 23, 180, 2090, 1430, 11, 20, 6, 362, 7033, 5, 372, 3, 402, 170, 970, 93, 50, 2723, 20, 6, 21249, 5976, 2, 20, 6, 93, 8786, 25880, 11430, 979, 12147, 2, 20, 6, 112, 7759, 4305, 10952, 1308, 514, 2, 5, 8, 4805, 1593, 2, 11, 5, 652, 24224, 9, 3, 0]"
"[59514, 9361, 26091, 0]","[59514, 9361, 26091, 166, 1026, 18, 49, 46958, 5817, 0]"
"[59514, 35, 4449, 248, 1459, 115, 45, 3992, 64, 4, 402, 2635, 511, 50, 1249, 34019, 3, 34920, 197, 37, 0]","[59514, 80, 1596, 1226, 5, 181, 168, 100, 14227, 540, 19, 89, 35236, 3, 315, 823, 5901, 13543, 114, 1368, 37, 0]"
"[59514, 402, 197, 222, 21, 33684, 21, 23416, 9, 50, 0]","[59514, 402, 24797, 21, 8258, 51, 21, 23416, 9, 50, 0]"
"[59514, 9057, 324, 1068, 2766, 1108, 1088, 0]","[59514, 344, 867, 9796, 13, 641, 32637, 9, 11, 88, 3586, 16, 35466, 3, 2269, 66, 9376, 88, 1069, 35466, 16, 372, 31, 8, 8856, 20, 6, 11300, 20, 6, 93, 1636, 38417, 3, 0]"
"[59514, 443, 55, 3734, 4, 2120, 9319, 2, 4, 44656, 86, 45, 6360, 18, 4, 478, 12, 57, 2, 30, 117, 2674, 2, 46, 4, 14347, 55, 4700, 1043, 3, 0]","[59514, 350, 88, 32640, 36, 19, 9376, 8919, 2, 605, 193, 1886, 2, 19, 42296, 439, 345, 22255, 17, 14, 6, 3399, 9, 597, 29, 88, 867, 21047, 777, 21, 2272, 2, 345, 18448, 3905, 5, 497, 1165, 9, 597, 3, 8941, 24156, 352, 37, 4527, 7529, 3022, 0]"
"[59514, 35, 1038, 86, 6121, 287, 155, 200, 117, 3655, 1188, 3, 35, 365, 7, 642, 2585, 2, 4, 1018, 7, 4, 705, 3768, 2585, 10, 8533, 42, 4, 40246, 9, 33, 55, 4700, 349, 57, 4128, 3611, 3, 0]","[59514, 277, 120, 8856, 2, 88, 1069, 893, 16, 641, 29, 19, 201, 24227, 36, 88, 23, 95, 35085, 36, 193, 689, 20, 6, 8543, 3, 1647, 8, 4789, 2, 88, 1069, 893, 16, 637, 13, 1940, 3080, 2585, 11, 36, 8, 5177, 70, 40879, 9, 16, 40168, 9, 29, 88, 867, 8911, 3552, 3, 83, 40168, 9, 7267, 31, 8, 1107, 5, 5177, 614, 951, 398, 2, 23, 855, 418, 7252, 8696, 31, 8, 2528, 13, 40168, 9, 17, 7497, 3, 83, 40168, 9, 44, 70, 31, 8, 8729, 1107, 31463, 65, 4765, 3, 793, 3998, 573, 31, 8, 1107, 712, 29, 88, 76, 16, 9315, 590, 53, 7352, 3, 0]"
"[59514, 11525, 866, 1635, 64, 37, 10581, 32545, 162, 2, 25684, 43002, 265, 2, 6509, 2094, 29409, 2, 9361, 3511, 7116, 11172, 0]","[59514, 11525, 164, 214, 5, 10581, 60, 3573, 162, 2, 25684, 4076, 1308, 265, 2, 6509, 2094, 29409, 2, 9361, 3511, 7116, 11172, 0]"
"[59514, 6766, 47008, 20210, 23725, 0]","[59514, 4333, 5373, 20, 6, 9407, 22, 21497, 309, 3386, 5, 2075, 0]"
"[59514, 488, 21, 2049, 5537, 0]","[59514, 267, 14668, 9, 21332, 0]"
"[59514, 5846, 1817, 5346, 6870, 2, 301, 548, 0]","[59514, 80, 355, 17, 370, 5, 8, 27012, 12995, 15, 24378, 3, 301, 548, 0]"
"[59514, 402, 1717, 20693, 5918, 0]","[59514, 402, 2935, 38, 5659, 7054, 561, 9314, 8245, 3878, 548, 0]"
"[59514, 48601, 37, 0]","[59514, 5971, 402, 38492, 0]"
"[59514, 40662, 2429, 37, 0]","[59514, 11582, 5, 8, 387, 107, 51, 402, 38492, 0]"
"[59514, 5696, 8277, 0]","[59514, 5696, 8277, 14367, 774, 817, 2203, 4155, 4977, 3, 4486, 122, 0]"
"[59514, 84, 801, 1459, 222, 32, 7700, 3, 213, 354, 12, 12802, 4, 440, 1459, 222, 401, 9, 28, 12, 1903, 67, 1451, 37, 301, 2216, 0]","[59514, 34688, 5, 1512, 34, 1459, 222, 1029, 3, 344, 3287, 12029, 19, 401, 9, 28, 1459, 222, 401, 9, 28, 1759, 27, 4965, 66, 2023, 402, 38492, 301, 2216, 0]"
"[59514, 41433, 15, 8757, 7384, 7, 1863, 64, 4, 402, 2635, 3805, 7086, 50, 7081, 3, 0]","[59514, 37940, 9, 34, 1470, 36, 6400, 3620, 5, 1470, 5, 14, 6, 9407, 5, 402, 2635, 3805, 7086, 50, 3, 0]"
"[59514, 9673, 4, 10512, 55, 639, 12, 256, 0]","[59514, 12739, 16, 6785, 17, 1697, 0]"
"[59514, 15781, 0]","[59514, 30349, 1029, 0]"
"[59514, 34046, 8557, 36178, 0]","[59514, 135, 5224, 3069, 5, 1826, 1802, 24156, 352, 37, 1627, 226, 10795, 9086, 2559, 9, 0]"
"[59514, 160, 32, 1124, 12, 45, 403, 26, 4, 1321, 4213, 6224, 3, 0]","[59514, 6025, 439, 1972, 27, 8, 7836, 5, 3239, 10358, 3, 0]"
"[59514, 7955, 21593, 10039, 2033, 3453, 1244, 0]","[59514, 60, 3254, 81, 6, 8124, 53, 0]"
"[59514, 32969, 4, 1631, 7, 4, 4118, 7907, 3, 37239, 67, 2674, 664, 81, 6, 75, 4651, 4, 6110, 1038, 3, 213, 79, 12, 12667, 10, 37866, 402, 2635, 111, 4869, 602, 50, 239, 33, 4, 1631, 32, 4971, 3, 24, 4827, 2674, 32, 73, 494, 18, 4, 526, 3261, 1226, 7, 402, 2635, 111, 4869, 602, 50, 568, 4, 1631, 32, 28293, 18, 4, 1004, 526, 3261, 10642, 3, 28, 0]","[59514, 84, 34010, 8, 1918, 5, 14, 6, 21274, 12649, 3, 28393, 120, 2674, 81, 6, 37867, 53, 19, 2084, 5, 193, 201, 3, 344, 19617, 9095, 11, 23417, 3284, 10328, 526, 381, 4869, 602, 27, 29, 8, 1918, 345, 7540, 51, 3, 24, 15867, 2674, 81, 6, 82, 53, 2200, 31, 8, 1226, 526, 3261, 5, 526, 381, 4869, 602, 527, 8, 1918, 43, 15, 10001, 514, 31, 16, 2118, 526, 3261, 18400, 3, 28, 0]"
"[59514, 402, 2635, 186, 8577, 259, 50, 94, 15, 29418, 7426, 26, 482, 1437, 1184, 2, 336, 13911, 4004, 2, 2603, 2, 402, 4840, 23723, 50, 10, 4549, 2, 3175, 2, 2207, 9884, 24, 1637, 55, 79, 4, 912, 402, 2635, 186, 8577, 259, 50, 20142, 7918, 28, 10, 1863, 4004, 3, 0]","[59514, 402, 2635, 186, 8577, 259, 50, 43, 12774, 20, 6, 112, 952, 20, 6, 41914, 27, 5, 1290, 5, 1184, 5, 4027, 2, 167, 680, 16, 4027, 13911, 2, 16, 2603, 2, 16, 7033, 402, 4840, 23723, 50, 11, 4549, 2, 16, 113, 9, 2, 16, 9884, 2207, 24, 3432, 88, 867, 19, 5893, 9151, 6559, 5, 402, 2635, 186, 8577, 259, 50, 28, 11, 16, 4027, 1470, 3, 0]"
"[59514, 26572, 13106, 8137, 30349, 0]","[59514, 30349, 8810, 22, 10929, 19953, 657, 6587, 0]"
"[59514, 15459, 0]","[59514, 25414, 0]"
"[59514, 35, 7821, 2805, 0]","[59514, 30349, 1648, 16036, 139, 16, 27838, 9, 25580, 9, 0]"
"[59514, 25950, 9, 208, 4, 2758, 0]","[59514, 25950, 14, 6, 2758, 0]"
"[59514, 13362, 0]","[59514, 13362, 0]"
"[59514, 35048, 0]","[59514, 35048, 166, 1026, 81, 6587, 24, 9313, 253, 2, 1057, 40241, 244, 197, 114, 170, 75, 76, 124, 15, 2901, 7676, 28, 0]"
"[59514, 18996, 0]","[59514, 14773, 778, 108, 226, 0]"
